girl_id,grade,partner_id,partner_id_2,ws_1,ws_2,ws_3,ws_4,ws_5,ws_6,ws_7,ws_8,ws9_1,ws9_2,ws9_3,ws9_4,ws9_5,special_workshop_preference
70,7,NULL,,12,1,2,13,14,15,7,11,,,,,,
72,8,NULL,,5,20,7,14,3,16,1,8,,,,,,
73,8,NULL,,16,5,7,14,19,3,4,10,,,,,,
74,8,NULL,,22,11,9,7,12,19,20,3,,,,,,
77,7,NULL,,11,22,19,14,3,7,4,18,,,,,,
78,8,NULL,,22,6,3,8,9,7,19,14,,,,,,
79,7,NULL,,16,14,5,11,8,18,4,3,,,,,,
80,8,NULL,,5,11,16,10,17,4,14,18,,,,,,
81,7,NULL,,21,7,4,3,13,9,22,11,,,,,,
82,7,NULL,,11,13,20,3,5,12,15,18,,,,,,
83,7,334,,3,6,7,11,13,17,19,21,,,,,,
85,8,NULL,,22,16,21,9,15,5,3,17,,,,,,
86,7,476,,7,11,4,3,8,9,10,13,,,,,,
87,9,114,,0,0,0,0,0,0,0,0,31,25,26,24,29,special
90,7,122,,19,11,21,4,7,17,20,6,,,,,,
91,8,NULL,,2,22,7,10,21,4,6,17,,,,,,
92,7,275,,4,7,10,11,14,17,19,21,,,,,,
93,9,NULL,,22,14,21,5,18,16,7,4,24,26,31,30,27,special
95,8,NULL,,22,4,17,13,10,18,19,14,,,,,,
96,10,NULL,,3,21,0,0,0,0,0,0,26,28,0,0,0,no_preference
97,9,NULL,,21,22,7,14,20,18,4,3,29,28,26,24,27,special
98,7,NULL,,14,3,19,16,18,7,5,8,,,,,,
99,7,NULL,,5,19,21,3,4,14,0,0,,,,,,
100,7,101,102,12,5,15,7,8,4,9,3,,,,,,
101,7,100,102,12,5,15,7,8,4,9,3,,,,,,
102,7,100,101,12,5,15,7,8,4,9,3,,,,,,
103,7,NULL,,3,7,11,14,8,19,1,5,,,,,,
104,7,133,,2,4,9,6,19,1,17,8,,,,,,
105,7,120,121,9,1,2,6,19,11,22,20,,,,,,
106,7,136,,3,14,21,22,12,20,11,7,,,,,,
107,8,NULL,,4,9,14,13,19,22,12,15,,,,,,
108,7,123,125,7,19,20,4,6,11,5,10,,,,,,
109,7,128,129,7,22,3,9,4,5,6,10,,,,,,
110,8,116,117,9,7,3,18,10,16,19,8,,,,,,
111,10,NULL,,3,5,8,13,0,0,0,0,24,26,29,30,0,special
112,8,137,,14,5,19,8,18,3,10,6,,,,,,
113,7,126,147,12,19,17,20,7,18,4,15,,,,,,
114,10,87,,0,0,0,0,0,0,0,0,31,25,26,24,29,special
115,8,NULL,,17,5,6,11,7,12,19,22,,,,,,
116,7,117,110,9,7,3,18,10,16,19,8,,,,,,
117,7,116,110,9,7,3,18,10,16,19,8,,,,,,
118,7,157,159,19,8,9,17,7,10,6,3,,,,,,
119,8,175,,3,4,8,19,11,18,22,21,,,,,,
120,7,121,105,9,1,2,6,19,11,22,20,,,,,,
121,7,120,105,9,1,2,6,19,11,22,20,,,,,,
122,7,90,,19,11,21,4,7,17,20,6,,,,,,
123,7,125,108,7,19,20,4,6,11,5,10,,,,,,
124,8,NULL,,10,19,4,5,17,22,8,16,,,,,,
125,7,123,108,7,19,20,4,6,11,5,10,,,,,,
126,7,147,113,12,19,17,20,7,18,4,15,,,,,,
127,7,171,,2,5,6,9,13,17,19,21,,,,,,
128,8,129,109,7,22,3,9,4,5,6,10,,,,,,
129,8,128,109,7,22,3,9,4,5,6,10,,,,,,
130,7,148,151,19,6,21,12,2,17,4,1,,,,,,
131,8,134,,21,17,5,14,10,4,2,16,,,,,,
133,7,104,,2,4,9,6,19,1,17,8,,,,,,
134,8,131,,21,17,5,14,10,4,2,16,,,,,,
135,8,138,,9,11,16,8,14,6,20,15,,,,,,
136,7,106,,3,14,21,22,12,20,11,7,,,,,,
137,8,112,,14,5,19,8,18,3,10,6,,,,,,
138,7,135,,9,11,16,8,14,6,20,15,,,,,,
139,7,141,,22,19,4,16,8,14,11,13,,,,,,
140,8,NULL,,4,3,16,10,17,13,8,15,,,,,,
