,girl_id,grade,partner_id,partner_id_2,ws_1,ws_2,ws_3,ws_4,ws_5,ws_6,ws_7,ws_8,ws9_1,ws9_2,ws9_3,ws9_4,ws9_5,special_workshop_preference
0,70,7,,,12,1,2,13,14,15,7,11,,,,,,
1,72,8,,,5,20,7,14,3,16,1,8,,,,,,
2,73,8,,,16,5,7,14,19,3,4,10,,,,,,
3,74,8,,,22,11,9,7,12,19,20,3,,,,,,
4,77,7,,,11,22,19,14,3,7,4,18,,,,,,
5,78,8,,,22,6,3,8,9,7,19,14,,,,,,
6,79,7,,,16,14,5,11,8,18,4,3,,,,,,
7,80,8,,,5,11,16,10,17,4,14,18,,,,,,
8,81,7,,,21,7,4,3,13,9,22,11,,,,,,
9,82,7,,,11,13,20,3,5,12,15,18,,,,,,
10,83,7,334.0,,3,6,7,11,13,17,19,21,,,,,,
11,85,8,,,22,16,21,9,15,5,3,17,,,,,,
12,86,7,476.0,,7,11,4,3,8,9,10,13,,,,,,
13,90,7,122.0,,19,11,21,4,7,17,20,6,,,,,,
14,91,8,,,2,22,7,10,21,4,6,17,,,,,,
15,92,7,275.0,,4,7,10,11,14,17,19,21,,,,,,
16,95,8,,,22,4,17,13,10,18,19,14,,,,,,
17,96,10,,,3,21,0,0,0,0,0,0,26.0,28.0,0.0,0.0,0.0,no_preference
18,98,7,,,14,3,19,16,18,7,5,8,,,,,,
19,99,7,,,5,19,21,3,4,14,0,0,,,,,,
20,100,7,101.0,102.0,12,5,15,7,8,4,9,3,,,,,,
21,101,7,100.0,102.0,12,5,15,7,8,4,9,3,,,,,,
22,102,7,100.0,101.0,12,5,15,7,8,4,9,3,,,,,,
23,103,7,,,3,7,11,14,8,19,1,5,,,,,,
24,104,7,133.0,,2,4,9,6,19,1,17,8,,,,,,
25,105,7,120.0,121.0,9,1,2,6,19,11,22,20,,,,,,
26,106,7,136.0,,3,14,21,22,12,20,11,7,,,,,,
27,107,8,,,4,9,14,13,19,22,12,15,,,,,,
28,108,7,123.0,125.0,7,19,20,4,6,11,5,10,,,,,,
29,109,7,128.0,129.0,7,22,3,9,4,5,6,10,,,,,,
30,110,8,116.0,117.0,9,7,3,18,10,16,19,8,,,,,,
31,112,8,137.0,,14,5,19,8,18,3,10,6,,,,,,
32,113,7,126.0,147.0,12,19,17,20,7,18,4,15,,,,,,
