girl_id,grade,partner_id,partner_id_2,workshop_1,workshop_2,workshop_3
70.0,7.0,,,1.0,12.0,2.0
72.0,8.0,,,5.0,7.0,16.0
73.0,8.0,,,16.0,14.0,5.0
74.0,8.0,,,22.0,11.0,6.0
77.0,7.0,,,22.0,11.0,18.0
78.0,8.0,,,22.0,6.0,8.0
79.0,7.0,,,16.0,11.0,18.0
80.0,8.0,,,16.0,10.0,5.0
81.0,7.0,,,21.0,13.0,22.0
82.0,7.0,,,13.0,12.0,5.0
83.0,7.0,334.0,,6.0,7.0,11.0
85.0,8.0,,,22.0,16.0,15.0
86.0,7.0,476.0,,11.0,8.0,7.0
87.0,9.0,114.0,,31.0,25.0,
90.0,7.0,122.0,,11.0,20.0,21.0
91.0,8.0,,,2.0,22.0,10.0
92.0,7.0,275.0,,10.0,11.0,7.0
93.0,9.0,,,24.0,26.0,
95.0,8.0,,,22.0,17.0,13.0
96.0,10.0,,,26.0,28.0,
97.0,9.0,,,29.0,28.0,
98.0,7.0,,,16.0,18.0,5.0
99.0,7.0,,,4.0,12.0,6.0
100.0,7.0,101.0,102.0,12.0,5.0,15.0
101.0,7.0,100.0,102.0,12.0,5.0,15.0
102.0,7.0,100.0,101.0,12.0,5.0,15.0
103.0,7.0,,,8.0,1.0,11.0
104.0,7.0,133.0,,2.0,9.0,6.0
105.0,7.0,120.0,121.0,9.0,1.0,2.0
106.0,7.0,136.0,,14.0,22.0,21.0
107.0,8.0,,,9.0,13.0,22.0
108.0,7.0,123.0,125.0,7.0,19.0,20.0
109.0,7.0,128.0,129.0,7.0,22.0,3.0
110.0,8.0,116.0,117.0,9.0,7.0,3.0
111.0,10.0,,,24.0,26.0,
112.0,8.0,137.0,,14.0,5.0,8.0
113.0,7.0,126.0,147.0,12.0,19.0,17.0
114.0,10.0,87.0,,31.0,25.0,
115.0,8.0,,,17.0,6.0,5.0
116.0,7.0,117.0,110.0,9.0,7.0,3.0
117.0,7.0,116.0,110.0,9.0,7.0,3.0
118.0,7.0,157.0,159.0,19.0,8.0,9.0
119.0,8.0,175.0,,4.0,8.0,11.0
120.0,7.0,121.0,105.0,9.0,1.0,2.0
121.0,7.0,120.0,105.0,9.0,1.0,2.0
122.0,7.0,90.0,,11.0,20.0,21.0
123.0,7.0,125.0,108.0,7.0,19.0,20.0
124.0,8.0,,,10.0,22.0,4.0
